FSfamily date_laid date_Ass Pupated
F10 19.02.07 05.03.07 1
F10 19.02.07 05.03.07 1
F10 19.02.07 05.03.07 1
F10 19.02.07 05.03.07 1
F10 19.02.07 05.03.07 1
F11 19.02.07 05.03.07 1
F11 19.02.07 05.03.07 1
F11 19.02.07 05.03.07 1
F11 19.02.07 05.03.07 1
F11 19.02.07 05.03.07 1
F12 19.02.07 05.03.07 1
F12 19.02.07 05.03.07 1
F12 19.02.07 05.03.07 1
F12 19.02.07 05.03.07 1
F12 19.02.07 05.03.07 1
F12 19.02.07 05.03.07 1
F12 19.02.07 05.03.07 1
F12 19.02.07 05.03.07 1
F12 19.02.07 05.03.07 1
F12 19.02.07 05.03.07 1
F12 19.02.07 05.03.07 1
F13 19.02.07 05.03.07 1
F13 19.02.07 05.03.07 1
F13 19.02.07 05.03.07 1
F13 19.02.07 05.03.07 1
F14 19.02.07 05.03.07 1
F14 19.02.07 05.03.07 1
F15 20.02.07 06.03.07 1
F15 20.02.07 06.03.07 1
F15 20.02.07 06.03.07 1
F15 20.02.07 06.03.07 1
F15 20.02.07 06.03.07 1
F16 20.02.07 06.03.07 1
F16 20.02.07 06.03.07 1
F16 20.02.07 06.03.07 1
F16 20.02.07 06.03.07 1
F16 20.02.07 06.03.07 1
F16 20.02.07 06.03.07 1
F16 20.02.07 06.03.07 1
F16 20.02.07 06.03.07 1
F16 20.02.07 06.03.07 1
F16 20.02.07 06.03.07 1
F17 08.03.07 19.03.07 1
F17 08.03.07 19.03.07 1
F18 08.03.07 19.03.07 1
F18 08.03.07 19.03.07 1
F19 08.03.07 19.03.07 1
F19 08.03.07 19.03.07 1
F19 08.03.07 19.03.07 1
F20 08.03.07 19.03.07 1
F21 09.03.07 20.03.07 1
F21 09.03.07 20.03.07 1
F21 09.03.07 20.03.07 1
F21 09.03.07 20.03.07 1
F22 12.03.07 23.03.07 1
F22 12.03.07 23.03.07 1
F22 12.03.07 23.03.07 1
F22 12.03.07 23.03.07 1
F22 12.03.07 23.03.07 1
F23 14.03.07 26.03.07 1
F23 14.03.07 26.03.07 1
F23 14.03.07 26.03.07 1
F23 14.03.07 26.03.07 1
F24 14.03.07 26.03.07 1
F35 14.03.07 26.03.07 1
F35 14.03.07 26.03.07 1
F35 14.03.07 26.03.07 1
F35 14.03.07 26.03.07 1
F35 14.03.07 26.03.07 1
F35 14.03.07 26.03.07 1
F35 14.03.07 26.03.07 1
F35 14.03.07 26.03.07 1
F35 14.03.07 26.03.07 1
F35 14.03.07 26.03.07 1
F26 14.03.07 26.03.07 1
F26 14.03.07 26.03.07 1
F27 19.03.07 02.04.07 1
F27 19.03.07 02.04.07 1
F27 19.03.07 02.04.07 1
F27 19.03.07 02.04.07 1
F27 19.03.07 02.04.07 1
F27 19.03.07 02.04.07 1
F28 19.03.07 02.04.07 1
F28 19.03.07 02.04.07 1
F28 19.03.07 02.04.07 1
F28 19.03.07 02.04.07 1
F28 19.03.07 02.04.07 1
F28 19.03.07 02.04.07 1
F28 19.03.07 02.04.07 1
F28 19.03.07 02.04.07 1
F29 22.03.07 04.04.07 1
F30 22.03.07 04.04.07 1
F30 22.03.07 04.04.07 1
F30 22.03.07 04.04.07 1
F30 22.03.07 04.04.07 1
F30 22.03.07 04.04.07 1
F31 22.03.07 04.04.07 1
F31 22.03.07 04.04.07 1
F31 22.03.07 04.04.07 1
F32 22.03.07 04.04.07 1
F32 22.03.07 04.04.07 1
F32 22.03.07 04.04.07 1
F32 22.03.07 04.04.07 1
F33 23.03.07 04.04.07 1
F33 23.03.07 04.04.07 1
F34 26.03.07 10.04.07 1
F34 26.03.07 10.04.07 1
F34 26.03.07 10.04.07 1
F34 26.03.07 10.04.07 1
F34 26.03.07 10.04.07 1
F34 26.03.07 10.04.07 1
F35 26.03.07 10.03.07 1
F35 26.03.07 10.03.07 1
F35 26.03.07 10.03.07 1
F35 26.03.07 10.03.07 1
F35 26.03.07 10.03.07 1
F35 26.03.07 10.03.07 1
F37 28.03.07 10.04.07 1
F37 28.03.07 10.04.07 1
F38 28.03.07 10.04.07 1
F38 28.03.07 10.04.07 1
F38 28.03.07 10.04.07 1
F38 28.03.07 10.04.07 1
F38 28.03.07 10.04.07 1
F38 28.03.07 10.04.07 1
F38 28.03.07 10.04.07 1
F38 28.03.07 10.04.07 1
F39 28.03.07 10.04.07 1
F39 28.03.07 10.04.07 1
F39 28.03.07 10.04.07 1
F39 28.03.07 10.04.07 1
F39 28.03.07 10.04.07 1
F39 28.03.07 10.04.07 1
F39 28.03.07 10.04.07 1
F40 29.03.07 11.04.07 1
F40 29.03.07 11.04.07 1
F40 29.03.07 11.04.07 1
F40 29.03.07 11.04.07 1
F40 29.03.07 11.04.07 1
F40 29.03.07 11.04.07 1
F41 29.03.07 11.04.07 1
F41 29.03.07 11.04.07 1
F41 29.03.07 11.04.07 1
F41 29.03.07 11.04.07 1
F41 29.03.07 11.04.07 1
F41 29.03.07 11.04.07 1
F42 29.03.07 11.04.07 1
F42 29.03.07 11.04.07 1
F42 29.03.07 11.04.07 1
F42 29.03.07 11.04.07 1
F42 29.03.07 11.04.07 1
F42 29.03.07 11.04.07 1
F43 29.03.07 11.04.07 1
F44 30.03.07 11.04.07 1
F44 30.03.07 11.04.07 1
F45 30.03.07 11.04.07 1
F46 30.03.07 11.04.07 1
F46 30.03.07 11.04.07 1
F46 30.03.07 11.04.07 1
F46 30.03.07 11.04.07 1
F46 30.03.07 11.04.07 1
F46 30.03.07 11.04.07 1
F46 30.03.07 11.04.07 1
F46 30.03.07 11.04.07 1
F46 30.03.07 11.04.07 1
F46 30.03.07 11.04.07 1
F46 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F47 30.03.07 11.04.07 1
F48 02.04.07 16.04.07 1
F48 02.04.07 16.04.07 1
F48 02.04.07 16.04.07 1
F49 02.04.07 12.04.07 1
F49 02.04.07 12.04.07 1
F49 02.04.07 12.04.07 1
F49 02.04.07 12.04.07 1
F50 04.04.07 16.04.07 1
F50 04.04.07 16.04.07 1
F1 19.02.07 05.03.07 0
F1 19.02.07 05.03.07 0
F1 19.02.07 05.03.07 0
F1 19.02.07 05.03.07 0
F1 19.02.07 05.03.07 0
F1 19.02.07 05.03.07 0
F1 19.02.07 05.03.07 0
F1 19.02.07 05.03.07 0
F1 19.02.07 05.03.07 0
F1 19.02.07 05.03.07 0
F1 19.02.07 05.03.07 0
F1 19.02.07 05.03.07 0
F2 19.02.07 05.03.07 0
F2 19.02.07 05.03.07 0
F2 19.02.07 05.03.07 0
F2 19.02.07 05.03.07 0
F2 19.02.07 05.03.07 0
F2 19.02.07 05.03.07 0
F2 19.02.07 05.03.07 0
F2 19.02.07 05.03.07 0
F2 19.02.07 05.03.07 0
F2 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F3 19.02.07 05.03.07 0
F4 19.02.07 05.03.07 0
F4 19.02.07 05.03.07 0
F4 19.02.07 05.03.07 0
F5 19.02.07 05.03.07 0
F5 19.02.07 05.03.07 0
F5 19.02.07 05.03.07 0
F5 19.02.07 05.03.07 0
F6 19.02.07 05.03.07 0
F6 19.02.07 05.03.07 0
F6 19.02.07 05.03.07 0
F6 19.02.07 05.03.07 0
F6 19.02.07 05.03.07 0
F6 19.02.07 05.03.07 0
F6 19.02.07 05.03.07 0
F7 19.02.07 05.03.07 0
F7 19.02.07 05.03.07 0
F7 19.02.07 05.03.07 0
F7 19.02.07 05.03.07 0
F7 19.02.07 05.03.07 0
F7 19.02.07 05.03.07 0
F7 19.02.07 05.03.07 0
F7 19.02.07 05.03.07 0
F7 19.02.07 05.03.07 0
F8 19.02.07 05.03.07 0
F8 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F9 19.02.07 05.03.07 0
F10 19.02.07 05.03.07 0
F10 19.02.07 05.03.07 0
F10 19.02.07 05.03.07 0
F10 19.02.07 05.03.07 0
F10 19.02.07 05.03.07 0
F11 19.02.07 05.03.07 0
F11 19.02.07 05.03.07 0
F11 19.02.07 05.03.07 0
F11 19.02.07 05.03.07 0
F11 19.02.07 05.03.07 0
F11 19.02.07 05.03.07 0
F11 19.02.07 05.03.07 0
F11 19.02.07 05.03.07 0
F12 19.02.07 05.03.07 0
F12 19.02.07 05.03.07 0
F12 19.02.07 05.03.07 0
F12 19.02.07 05.03.07 0
F12 19.02.07 05.03.07 0
F12 19.02.07 05.03.07 0
F12 19.02.07 05.03.07 0
F12 19.02.07 05.03.07 0
F12 19.02.07 05.03.07 0
F13 19.02.07 05.03.07 0
F13 19.02.07 05.03.07 0
F13 19.02.07 05.03.07 0
F13 19.02.07 05.03.07 0
F13 19.02.07 05.03.07 0
F13 19.02.07 05.03.07 0
F14 19.02.07 05.03.07 0
F14 19.02.07 05.03.07 0
F14 19.02.07 05.03.07 0
F14 19.02.07 05.03.07 0
F14 19.02.07 05.03.07 0
F15 20.02.07 06.03.07 0
F15 20.02.07 06.03.07 0
F15 20.02.07 06.03.07 0
F15 20.02.07 06.03.07 0
F15 20.02.07 06.03.07 0
F15 20.02.07 06.03.07 0
F15 20.02.07 06.03.07 0
F15 20.02.07 06.03.07 0
F15 20.02.07 06.03.07 0
F15 20.02.07 06.03.07 0
F16 20.02.07 06.03.07 0
F16 20.02.07 06.03.07 0
F16 20.02.07 06.03.07 0
F16 20.02.07 06.03.07 0
F16 20.02.07 06.03.07 0
F16 20.02.07 06.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F17 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F18 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F19 08.03.07 19.03.07 0
F20 08.03.07 19.03.07 0
F20 08.03.07 19.03.07 0
F20 08.03.07 19.03.07 0
F20 08.03.07 19.03.07 0
F20 08.03.07 19.03.07 0
F20 08.03.07 19.03.07 0
F20 08.03.07 19.03.07 0
F20 08.03.07 19.03.07 0
F20 08.03.07 19.03.07 0
F20 08.03.07 19.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F21 09.03.07 20.03.07 0
F22 12.03.07 23.03.07 0
F22 12.03.07 23.03.07 0
F22 12.03.07 23.03.07 0
F22 12.03.07 23.03.07 0
F22 12.03.07 23.03.07 0
F22 12.03.07 23.03.07 0
F22 12.03.07 23.03.07 0
F22 12.03.07 23.03.07 0
F22 12.03.07 23.03.07 0
F23 14.03.07 26.03.07 0
F23 14.03.07 26.03.07 0
F23 14.03.07 26.03.07 0
F23 14.03.07 26.03.07 0
F23 14.03.07 26.03.07 0
F23 14.03.07 26.03.07 0
F23 14.03.07 26.03.07 0
F23 14.03.07 26.03.07 0
F23 14.03.07 26.03.07 0
F23 14.03.07 26.03.07 0
F23 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F24 14.03.07 26.03.07 0
F35 14.03.07 26.03.07 0
F35 14.03.07 26.03.07 0
F35 14.03.07 26.03.07 0
F35 14.03.07 26.03.07 0
F35 14.03.07 26.03.07 0
F35 14.03.07 26.03.07 0
F35 14.03.07 26.03.07 0
F35 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F26 14.03.07 26.03.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F27 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F28 19.03.07 02.04.07 0
F29 22.03.07 04.04.07 0
F29 22.03.07 04.04.07 0
F29 22.03.07 04.04.07 0
F29 22.03.07 04.04.07 0
F29 22.03.07 04.04.07 0
F29 22.03.07 04.04.07 0
F29 22.03.07 04.04.07 0
F29 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F30 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F31 22.03.07 04.04.07 0
F32 22.03.07 04.04.07 0
F32 22.03.07 04.04.07 0
F32 22.03.07 04.04.07 0
F32 22.03.07 04.04.07 0
F32 22.03.07 04.04.07 0
F32 22.03.07 04.04.07 0
F32 22.03.07 04.04.07 0
F32 22.03.07 04.04.07 0
F32 22.03.07 04.04.07 0
F32 22.03.07 04.04.07 0
F32 22.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F33 23.03.07 04.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F34 26.03.07 10.04.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F35 26.03.07 10.03.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F36 26.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F37 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F38 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F39 28.03.07 10.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F40 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F41 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F42 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F43 29.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F44 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F45 30.03.07 11.04.07 0
F46 30.03.07 11.04.07 0
F46 30.03.07 11.04.07 0
F46 30.03.07 11.04.07 0
F46 30.03.07 11.04.07 0
F46 30.03.07 11.04.07 0
F46 30.03.07 11.04.07 0
F46 30.03.07 11.04.07 0
F46 30.03.07 11.04.07 0
F46 30.03.07 11.04.07 0
