animal dam sire
R187785 R187964 R187965
R187251 R187545 R187543
R187261 R187546 R187544
R187269 R187239 R187591
R187674 R187940 R187934
R187661 R187590 Male29
R046172 R187524 R187526
R187042 R187521 R187520
R187862 R187931 R187929
R187285 R187577 Male57
R187775 R188000 Male69
R187198 R187292 R187578
R046181 R187516 R187519
R187767 R187999 R187998
R187186 R187166 R187581
R187167 R187579 R187580
R187294 R187548 Male47
R187760 R187961 R187960
R187178 R187155 R187585
R187476 R187594 R187593
R187881 R187948 R187950
R187157 R187588 R187583
R187132 R187557 R187556
R187145 R187559 R187558
R187033 R187531 R187530
R187889 R187963 Male46
R187123 R187592 R187576
R187113 R187575 R187572
R187639 Fem5 Male28
R187894 R186912 R186913
R187462 R187930 UND1902
R187108 R187513 Male106
R187750 R187000 R187962
R187452 R187598 R187599
R187445 R187918 Male105
R187435 R187914 R187915
R187632 R187957 R187956
R187425 R187955 R187919
R187099 R187552 R187550
R187087 R187535 R187534
R187012 R187527 R187536
R187322 R187595 R187924
R187419 R187925 R187913
R187010 R187001 R187533
R187995 R186918 Male31
R187741 R187637 R187954
R187315 K983388 R187597
R187301 Fem20 R187600
R187070 R187086 R187551
R187008 R187009 R187514
R187627 R187926 R187923
R187631 R187926 R187923
R187629 R187926 R187923
R187628 R187926 R187923
R187626 R187926 R187923
R187625 R187926 R187923
R187660 R187951 R187949
R187624 R187926 R187923
R187659 R187951 R187949
R187623 R187926 R187923
R046117 R187517 R187395
R187216 R187399 R187589
R187682 R187927 R187928
R187658 R187951 R187949
R187622 R187926 R187923
R187336 R187562 R187564
R187816 R186910 Male4
R187601 R187598 R187599
R046156 R187518 P322412
R046116 R187517 R187395
R187217 R187399 R187589
R187236 R187239 R187591
R187681 R187927 R187928
R187657 R187951 R187949
R187469 R187931 R187929
R187621 R187926 R187923
R187561 R187001 R187533
R187342 R187562 R187564
R187815 R186910 Male4
R187500 R187598 R187599
R046154 R187518 P322412
R187227 R187552 R187550
R046115 R187517 R187395
R046119 R187398 R187396
R187731 R187936 R187943
R187213 R187399 R187589
R187235 R187239 R187591
R187679 R187927 R187928
R187665 R187932 R187933
R046178 R187516 R187519
R187779 R187948 R187950
R187773 R187961 R187960
R187587 R187166 R187581
R187586 R187588 R187583
R187656 R187951 R187949
R187143 R187559 R187558
R187040 R187030 R187574
R187122 R187592 R187576
R187644 R187941 R187939
R187468 R187931 R187929
R187757 R186902 Male80
R187433 R187914 R187915
R187620 R187926 R187923
R187090 R187086 R187551
R187596 R187553 R187554
R187997 R186917 R186916
R187318 Fem20 R187600
R187007 R187001 R187533
R187392 R187566 R187538
R187374 R187539 N863616
R187340 R187562 R187564
R187364 R187563 R187565
R187814 R186910 Male4
R187499 R187598 R187599
R187069 R187527 R187536
R046149 P322402 R187511
R187606 R187569 Male13
R187382 R187568 R187567
R046160 R187518 P322412
R187225 R187552 R187550
R187418 R187595 R187924
R187410 R187594 R187593
R046114 R187517 R187395
R187555 R187531 R187530
R046129 R187398 R187396
R187729 R187936 R187943
R187832 R186908 R186904
R187842 R187000 R187962
R187852 R186912 R186913
R187248 Fem3 Male24
R187233 R187239 R187591
R187268 R187545 R187543
R187052 R187540 R187525
R187671 R187932 R187933
R046177 R187516 R187519
R187782 R187948 R187950
R046187 R187524 R187526
R187768 R187961 R187960
R187194 R187579 R187580
R187175 R187166 R187581
R187873 R186907 R186914
R187184 R187588 R187583
R187477 R187945 R187935
R187655 R187951 R187949
R187164 R187155 R187585
R187141 R187559 R187558
R187153 R187557 R187556
R187037 R187030 R187574
R187888 R187964 R187965
R187120 R187592 R187576
R187646 R187941 R187939
R187467 R187931 R187929
R187756 R186902 Male80
R187460 R187916 R187917
R187443 R187955 R187919
R187431 R187914 R187915
R187619 R187926 R187923
R187097 R187086 R187551
R187019 R187515 R187529
R187330 R187553 R187554
R187994 R186917 R186916
R187316 Fem20 R187600
R187310 K983388 R187597
R187072 R187535 R187534
R187006 R187001 R187533
R187390 R187566 R187538
R187372 R187539 N863616
R187912 R187343 R187570
R187339 R187562 R187564
R187361 R187563 R187565
R187813 R186910 Male4
R187498 R187598 R187599
R187068 R187527 R187536
R046148 P322402 R187511
R187608 R187569 Male13
R187381 R187568 R187567
R046159 R187518 P322412
R187223 R187552 R187550
R187406 R187594 R187593
R046113 R187517 R187395
R187510 R187400 R187397
R187029 R187531 R187530
R046127 R187398 R187396
R187730 R187936 R187943
R187211 R187399 R187589
R187059 R187521 R187520
R187831 R186908 R186904
R187823 R187824 R186906
R187841 R187000 R187962
R187704 R187947 R187946
R187851 R186912 R186913
R187247 Fem3 Male24
R187695 R187958 R187959
R187970 R186918 Male31
R187490 R187590 Male29
R187232 R187239 R187591
R187282 R187548 Male47
R187258 R187546 R187544
R187265 R187545 R187543
R187051 R187540 R187525
R187677 R187927 R187928
R187667 R187932 R187933
R046176 R187516 R187519
R187781 R187948 R187950
R046183 R187524 R187526
R187772 R187961 R187960
R187192 R187579 R187580
R187173 R187166 R187581
R187872 R186907 R186914
R187501 R187582 R187584
R187765 R187999 R187998
R187183 R187588 R187583
R187475 R187945 R187935
R187654 R187951 R187949
R187161 R187155 R187585
R187140 R187559 R187558
R187152 R187557 R187556
R187035 R187030 R187574
R187892 R187964 R187965
R187131 R187575 R187572
R187118 R187592 R187576
R187645 R187941 R187939
R187466 R187931 R187929
R187109 R187573 Male81
R187459 R187916 R187917
R187451 R187925 R187913
R187442 R187955 R187919
R187429 R187914 R187915
R187618 R187926 R187923
R187095 R187086 R187551
R187018 R187515 R187529
R187329 R187553 R187554
R187993 R186917 R186916
R187744 R187957 R187956
R187314 Fem20 R187600
R187309 K983388 R187597
R187733 R186903 Male111
R187079 R187535 R187534
R187908 R186911 Male103
R187005 R187001 R187533
R187389 R187566 R187538
R187370 R187539 N863616
R187911 R187343 R187570
R187338 R187562 R187564
R187360 R187563 R187565
R187812 R186910 Male4
R046168 R187528 R187532
R187497 R187598 R187599
R187067 R187527 R187536
R187805 Fem2 Male10
R046146 P322402 R187511
R187604 R187569 Male13
R187379 R187568 R187567
R046157 R187518 P322412
R187356 R187537 P322413
R187221 R187552 R187550
R187415 R187595 R187924
R187404 R187594 R187593
R046112 R187517 R187395
R187509 R187400 R187397
R187022 R187531 R187530
R046190 R046108 R187394
R187727 R187936 R187943
R187209 R187399 R187589
R187058 R187521 R187520
R187722 R187940 R187934
R187830 R186908 R186904
R187820 R187824 R186906
R187797 R187953 R187952
R187702 R187947 R187946
R187850 R186912 R186913
R187244 Fem3 Male24
R187693 R187958 R187959
R187485 R187590 Male29
R187231 R187239 R187591
R187689 R187944 Male49
R187281 R187548 Male47
R187790 R187963 Male46
R187257 R187546 R187544
R187262 R187545 R187543
R187275 R187547 R187549
R187050 R187540 R187525
R187675 R187927 R187928
R187664 R187932 R187933
R046173 R187516 R187519
R187560 R187523 R187522
R187780 R187948 R187950
R187197 R187577 Male57
R046182 R187524 R187526
R187770 R187961 R187960
R187193 R187579 R187580
R187170 R187166 R187581
R187296 R187582 R187584
R187762 R187999 R187998
R187182 R187588 R187583
R187474 R187945 R187935
R187884 R188000 Male69
R187653 R187951 R187949
R187159 R187155 R187585
R187138 R187559 R187558
R187149 R187557 R187556
R187034 R187030 R187574
R187887 R187964 R187965
R187130 R187575 R187572
R187119 R187592 R187576
R187643 R187941 R187939
R187901 R187902 R186915
R187464 R187931 R187929
R187107 R187573 Male81
R187751 R186902 Male80
R187455 R187916 R187917
R187449 R187925 R187913
R187439 R187955 R187919
R187428 R187914 R187915
R187093 R187086 R187551
R187015 R187515 R187529
R187328 R187553 R187554
R187613 R187920 R187921
R046198 R187512 Male100
R187992 R186917 R186916
R187742 R187957 R187956
R187313 Fem20 R187600
R187308 K983388 R187597
R187077 R187535 R187534
R187907 R186911 Male103
R187004 R187001 R187533
R187386 R187566 R187538
R187369 R187539 N863616
R187346 R187343 R187570
R187335 R187562 R187564
R187358 R187563 R187565
R187811 R186910 Male4
R046166 R187528 R187532
R187495 R187598 R187599
R187065 R187527 R187536
R187802 Fem2 Male10
R046144 P322402 R187511
R187603 R187569 Male13
R187377 R187568 R187567
R046151 R187518 P322412
R187354 R187537 P322413
R187219 R187552 R187550
R187413 R187595 R187924
R187402 R187594 R187593
R046111 R187517 R187395
R187508 R187400 R187397
R187026 R187531 R187530
R046121 R187398 R187396
R046189 R046108 R187394
R187728 R187936 R187943
R187207 R187399 R187589
R187056 R187521 R187520
R187720 R187940 R187934
R187705 R187937 R187938
R187829 R186908 R186904
R187818 R187824 R186906
R187836 R187000 R187962
R187793 R187953 R187952
R187701 R187947 R187946
R187848 R186912 R186913
R187242 Fem3 Male24
R187690 R187958 R187959
R187484 R187590 Male29
R187230 R187239 R187591
R187687 R187944 Male49
R187278 R187548 Male47
R187256 R187546 R187544
R187260 R187545 R187543
R187274 R187547 R187549
R187049 R187540 R187525
R187673 R187927 R187928
R187663 R187932 R187933
R046171 R187516 R187519
R187047 R187523 R187522
R187866 R187930 UND1902
R187288 R187292 R187578
R187777 R187948 R187950
R187196 R187577 Male57
R046180 R187524 R187526
R187769 R187961 R187960
R187188 R187579 R187580
R187169 R187166 R187581
R187295 R187582 R187584
R187761 R187999 R187998
R187181 R187588 R187583
R187205 R187541 R187542
R187473 R187945 R187935
R187882 R188000 Male69
R187652 R187951 R187949
R187134 R187559 R187558
R187148 R187557 R187556
R187032 R187030 R187574
R187886 R187964 R187965
R187129 R187575 R187572
R187117 R187592 R187576
R187640 R187941 R187939
R187900 R187902 R186915
R187463 R187931 R187929
R187106 R187573 Male81
R187752 R186902 Male80
R187746 R186901 Male78
R187454 R187916 R187917
R187448 R187925 R187913
R187437 R187955 R187919
R187427 R187914 R187915
R187103 R187571 R187098
R187616 R187926 R187923
R187094 R187086 R187551
R187013 R187515 R187529
R187325 R187553 R187554
R187423 R187918 Male105
R187612 R187920 R187921
R046195 R187512 Male100
R187991 R186917 R186916
R187740 R187957 R187956
R187312 Fem20 R187600
R187304 K983388 R187597
R187735 R186903 Male111
R187075 R187535 R187534
R187906 R186911 Male103
R187003 R187001 R187533
R187384 R187566 R187538
R187368 R187539 N863616
R187345 R187343 R187570
R187331 R187562 R187564
R187357 R187563 R187565
R187810 R186910 Male4
R046162 R187528 R187532
R187492 R187598 R187599
R187063 R187527 R187536
R187801 Fem2 Male10
R046141 P322402 R187511
R187602 R187569 Male13
R187375 R187568 R187567
R187806 R186909 Male16
R046150 R187518 P322412
R187350 R187537 P322413
R187220 R187552 R187550
R187412 R187595 R187924
R187401 R187594 R187593
R046110 R187517 R187395
R187504 R187400 R187397
R187024 R187531 R187530
R046188 R046108 R187394
R187208 R187399 R187589
R187054 R187521 R187520
R187718 R187940 R187934
R187706 R187937 R187938
R187710 R187942 Male26
R187827 R186908 R186904
R187817 R187824 R186906
R187834 R187000 R187962
R187794 R187953 R187952
R187700 R187947 R187946
R187241 Fem3 Male24
R187691 R187958 R187959
R187482 R187590 Male29
R187228 R187239 R187591
R187685 R187944 Male49
R187276 R187548 Male47
R187784 R187963 Male46
R187250 R187546 R187544
R187259 R187545 R187543
R187271 R187547 R187549
R187048 R187540 R187525
R187672 R187927 R187928
R187662 R187932 R187933
R046170 R187516 R187519
R187045 R187523 R187522
R187867 R187930 UND1902
R187287 R187292 R187578
R187776 R187948 R187950
R187195 R187577 Male57
R046179 R187524 R187526
R187766 R187961 R187960
R187187 R187579 R187580
R187168 R187166 R187581
R187868 R186907 R186914
R187293 R187582 R187584
R187759 R187999 R187998
R187177 R187588 R187583
R187204 R187541 R187542
R187472 R187945 R187935
R187880 R188000 Male69
R187651 R187951 R187949
R187156 R187155 R187585
R187133 R187559 R187558
R187144 R187557 R187556
R187031 R187030 R187574
R187885 R187964 R187965
R187128 R187575 R187572
R187114 R187592 R187576
R187638 R187941 R187939
R187899 R187902 R186915
R187461 R187931 R187929
R187105 R187573 Male81
R187747 R186902 Male80
R187745 R186901 Male78
R187453 R187916 R187917
R187446 R187925 R187913
R187436 R187955 R187919
R187633 R187637 R187954
R187424 R187914 R187915
R187102 R187571 R187098
R187615 R187926 R187923
R187092 R187086 R187551
R187014 R187515 R187529
R187323 R187553 R187554
R187421 R187918 Male105
R187609 R187920 R187921
R046194 R187512 Male100
R187011 R187009 R187514
R187990 R186917 R186916
R187739 R187957 R187956
R187311 Fem20 R187600
R187302 K983388 R187597
R187732 R186903 Male111
R187073 R187535 R187534
R187905 R186911 Male103
R187002 R187001 R187533
