infected	not_infected	virus	line
32	15	Spain	395A
20	5	Spain	395A
11	1	Spain	395A
1	12	UK	519A
0	20	UK	519A
11	12	UK	502A
5	6	UK	502A
1	7	UK	502A
6	10	UK	395A
23	18	UK	395A
0	45	USA	519A
0	12	USA	519A
1	18	USA	519A
0	4	USA	519A
6	19	USA	502A
1	14	USA	502A
11	22	Spain	713A
1	9	Spain	713A
12	5	USA	395A
23	10	USA	395A
44	7	France	894A
10	23	France	894A
28	16	France	852A
25	3	France	852A
6	10	Greece	894A
9	12	Greece	894A
14	14	Greece	894A
16	14	Greece	894A
5	40	Greece	861A
1	52	Greece	861A
7	28	Greece	861A
9	28	Greece	861A
2	3	Spain	740A
50	2	Spain	740A
11	6	Spain	740A
0	39	Greece	852A
0	45	Greece	852A
2	46	Greece	852A
24	10	Spain	894A
23	5	Spain	894A
23	3	Spain	861A
22	2	Spain	861A
8	6	Spain	861A
29	1	Spain	861A
0	10	Spain	875A
17	8	Spain	852A
19	2	Spain	852A
7	19	Spain	852A
58	2	Spain	852A
12	24	UK	861A
0	3	UK	861A
12	5	UK	861A
11	5	UK	861A
4	10	UK	881A
13	1	UK	875A
0	10	UK	591A
10	11	UK	591A
4	43	UK	591A
1	22	UK	852A
8	16	UK	852A
7	5	UK	852A
4	17	USA	861A
3	10	USA	861A
3	0	USA	875A
31	13	USA	852A
3	1	USA	852A
27	13	France	797A
7	20	France	797A
0	9	UK	595A
0	8	UK	595A
3	11	UK	595A
3	7	Greece	834A
21	2	Greece	834A
2	1	Greece	834A
0	28	Greece	797A
6	12	Greece	797A
0	47	Greece	797A
16	4	Greece	797A
13	1	Spain	834A
9	2	Spain	834A
62	10	Spain	834A
22	3	Spain	834A
8	8	UK	834A
10	8	UK	834A
5	27	UK	834A
4	33	UK	797A
0	7	UK	797A
8	20	UK	797A
5	15	UK	797A
1	1	UK	663A
8	24	UK	663A
51	20	USA	797A
6	2	USA	797A
4	4	USA	797A
17	12	USA	797A
0	3	UK	713A
0	22	UK	713A
0	52	France	591A
0	2	France	591A
10	5	France	591A
2	6	France	591A
0	4	UK	740A
2	0	UK	740A
11	17	UK	740A
2	3	USA	591A
0	19	USA	591A
5	8	USA	663A
10	0	USA	663A
14	6	USA	663A
5	2	USA	663A
0	3	USA	740A
3	1	USA	740A
2	4	France	777A
21	6	France	776A
22	1	France	776A
0	1	France	595A
0	48	Greece	779A
0	24	Greece	779A
11	10	Greece	776A
1	2	Greece	776A
4	3	Spain	779A
10	18	Spain	777A
1	4	Spain	777A
29	5	France	663A
10	14	Spain	767A
3	19	UK	779A
1	6	UK	777A
0	1	UK	776A
18	38	UK	776A
2	9	USA	779A
6	20	USA	779A
3	14	USA	777A
0	34	USA	777A
0	28	France	26A
8	18	France	38A
13	13	France	38A
0	17	France	75A
0	45	France	75A
2	32	France	75A
0	8	France	75A
1	0	Greece	38A
1	18	Greece	38A
0	4	Greece	75A
0	17	Greece	75A
0	18	Greece	75A
0	4	Greece	75A
8	10	France	740A
18	27	France	740A
3	21	Greece	109A
3	6	Spain	26A
4	11	Spain	26A
12	8	Spain	38A
23	28	Spain	38A
8	11	Spain	38A
33	16	Spain	38A
4	28	Spain	75A
0	3	Spain	75A
1	0	Spain	109A
1	24	UK	26A
0	3	UK	26A
0	36	UK	38A
0	2	UK	38A
2	7	UK	38A
1	28	UK	38A
0	48	UK	75A
1	27	Greece	591A
1	47	Greece	591A
2	31	USA	26A
7	65	USA	75A
4	9	France	228A
5	13	Greece	238A
0	27	Greece	228A
30	16	Greece	158A
36	19	Greece	158A
0	13	Greece	153A
0	23	Greece	153A
0	35	Greece	153A
0	1	Greece	142A
25	0	Spain	238A
30	5	Spain	238A
21	2	Spain	158A
15	4	Spain	158A
8	12	Spain	153A
28	9	Spain	142A
7	15	Spain	142A
8	10	Spain	142A
19	12	Spain	142A
15	4	UK	238A
1	11	UK	238A
2	0	UK	228A
5	13	UK	158A
18	7	UK	158A
7	9	UK	153A
3	19	UK	153A
0	2	UK	142A
17	8	USA	238A
7	2	USA	238A
25	24	USA	228A
7	8	USA	158A
0	4	USA	158A
0	11	USA	26A
1	32	USA	26A
0	52	France	21A
0	35	France	21A
7	23	France	40A
33	6	France	40A
13	31	France	101A
14	7	France	101A
27	6	France	101A
1	21	Greece	21A
0	10	Greece	21A
20	6	Greece	21A
1	10	Greece	21A
0	5	Greece	40A
13	22	Greece	55A
16	28	Greece	55A
2	44	Greece	238A
0	69	Greece	101A
21	0	Spain	21A
34	6	Spain	21A
25	0	Spain	21A
37	3	Spain	55A
27	7	Spain	55A
21	30	Spain	55A
28	2	Spain	93A
26	0	Spain	93A
30	5	Spain	101A
2	0	UK	21A
22	14	UK	21A
22	16	UK	21A
20	13	UK	21A
9	2	UK	40A
15	8	UK	40A
30	9	UK	40A
13	11	UK	40A
0	5	UK	55A
12	13	UK	55A
0	40	UK	55A
4	3	UK	93A
30	48	UK	93A
59	10	UK	93A
20	8	UK	93A
7	34	Spain	142A
5	25	Spain	142A
35	26	UK	101A
44	38	USA	40A
18	1	USA	40A
7	1	USA	40A
10	51	USA	93A
22	12	USA	101A
21	5	USA	101A
1	46	France	391A
0	32	France	391A
0	40	France	360A
0	39	France	352A
5	27	France	352A
20	38	Spain	153A
27	20	Spain	153A
5	4	Spain	153A
0	35	Greece	391A
0	18	Greece	391A
2	14	Greece	360A
48	11	Greece	352A
20	17	Greece	352A
16	1	Greece	352A
8	0	Greece	352A
5	23	Greece	129A
1	8	Greece	129A
0	37	Spain	391A
0	40	Spain	391A
0	28	Spain	391A
30	6	Spain	378A
12	1	Spain	352A
4	1	Spain	352A
15	2	Spain	352A
18	24	Spain	352A
1	0	Spain	158A
33	3	Spain	158A
1	13	UK	391A
0	16	UK	391A
1	35	UK	391A
0	12	UK	391A
8	11	UK	378A
1	31	UK	378A
0	14	UK	378A
4	40	UK	360A
0	8	UK	360A
32	0	UK	352A
10	24	UK	352A
32	1	USA	352A
28	9	USA	129A
40	15	USA	129A
9	22	France	395A
4	2	France	395A
11	14	France	502A
14	7	France	502A
20	32	France	519A
1	34	France	519A
0	17	France	528A
0	9	France	528A
2	31	Greece	395A
0	5	Greece	395A
1	20	Greece	395A
25	15	Greece	395A
0	2	Greece	502A
0	15	Greece	502A
1	18	Greece	502A
0	12	Greece	502A
0	60	Greece	519A
0	22	Greece	519A
0	34	Greece	519A
0	47	Greece	519A
42	3	Spain	238A
41	0	Spain	238A
21	12	Spain	502A
3	35	Spain	519A
0	51	Spain	528A
0	37	Spain	528A
18	0	Spain	492A
32	12	UK	395A
1	58	UK	519A
0	11	UK	519A
2	34	UK	519A
0	39	UK	519A
20	25	UK	142A
12	38	USA	519A
5	35	USA	519A
3	2	UK	158A
25	19	UK	158A
11	5	UK	158A
0	15	UK	158A
4	34	UK	228A
14	26	France	142A
14	16	France	142A
26	11	UK	238A
9	5	USA	142A
2	21	USA	142A
7	29	USA	142A
10	5	USA	142A
9	18	USA	153A
0	18	USA	153A
13	3	USA	158A
19	1	USA	158A
3	2	USA	228A
0	19	USA	228A
15	21	USA	238A
11	12	USA	238A
40	17	USA	238A
0	31	France	355A
0	7	France	355A
0	34	France	355A
0	39	France	355A
0	56	France	354A
0	42	France	354A
16	16	France	313A
26	8	France	313A
18	15	France	313A
24	26	France	313A
20	20	France	153A
20	11	France	153A
8	16	France	153A
12	11	France	153A
0	17	Greece	354A
0	25	Greece	354A
7	30	Greece	313A
0	17	Greece	313A
6	27	Greece	313A
20	13	Greece	313A
4	6	Greece	280A
11	16	Greece	280A
0	31	Spain	355A
0	24	Spain	355A
1	31	Spain	355A
0	25	Spain	355A
8	13	Spain	313A
17	2	France	158A
30	7	France	158A
29	6	France	158A
31	6	France	158A
17	18	Spain	280A
17	10	Spain	280A
0	12	UK	355A
0	33	UK	355A
11	10	UK	313A
12	15	UK	313A
0	18	USA	355A
0	36	USA	355A
0	3	USA	354A
7	6	USA	313A
14	27	France	228A
2	24	France	228A
0	59	France	228A
1	24	France	228A
1	11	USA	280A
5	29	France	405A
33	10	France	439A
8	69	France	556A
1	19	France	556A
3	0	France	584A
0	33	Greece	392A
2	21	Greece	392A
0	19	Greece	392A
2	7	Greece	392A
0	10	Greece	405A
2	41	Greece	405A
15	12	Greece	439A
1	0	Greece	439A
8	15	Greece	556A
8	26	Greece	556A
0	27	Spain	392A
9	47	Spain	392A
29	34	Spain	405A
31	47	Spain	405A
9	15	Spain	405A
13	17	Spain	405A
18	2	Spain	439A
57	9	Spain	439A
0	39	Spain	556A
0	58	Spain	556A
13	25	Spain	556A
0	10	Spain	556A
2	6	Spain	584A
2	63	Spain	584A
5	55	UK	392A
0	13	UK	392A
0	38	UK	392A
6	33	UK	405A
1	1	UK	405A
1	18	Greece	142A
0	7	Greece	142A
10	26	Greece	142A
0	32	UK	584A
0	12	UK	584A
4	31	USA	392A
6	24	USA	392A
7	61	USA	392A
2	31	USA	392A
3	25	USA	405A
13	3	USA	405A
44	11	USA	439A
14	5	USA	439A
12	28	USA	439A
3	11	USA	584A
0	4	USA	584A
0	32	France	75A
3	46	France	75A
3	24	France	75A
0	21	France	75A
16	16	France	38A
34	9	France	38A
38	15	France	38A
32	20	France	38A
5	68	Greece	153A
4	26	Greece	153A
5	31	Greece	153A
0	26	Greece	153A
19	24	France	26A
0	25	Greece	75A
1	38	Greece	75A
0	27	Greece	75A
1	87	Greece	75A
5	17	Greece	38A
17	34	Greece	38A
3	5	Greece	38A
0	4	Greece	38A
1	8	Greece	26A
1	10	Greece	26A
0	19	Greece	26A
0	13	Greece	26A
2	34	Spain	75A
1	43	Spain	75A
14	3	Spain	38A
2	7	Spain	38A
8	9	Spain	38A
15	41	Greece	158A
0	16	Greece	158A
10	32	Greece	158A
1	6	Greece	158A
11	9	Spain	26A
21	13	Spain	26A
20	26	Spain	26A
0	37	UK	75A
0	43	UK	75A
4	20	UK	38A
4	34	UK	38A
9	23	USA	75A
9	18	USA	75A
16	26	USA	49A
11	21	USA	38A
21	21	USA	38A
9	9	USA	38A
4	14	USA	753A
4	6	USA	753A
13	13	France	832A
38	6	France	813A
35	5	France	810A
27	0	France	810A
20	3	France	802A
48	8	France	802A
35	5	France	802A
6	5	France	802A
9	30	France	797A
10	15	France	797A
24	14	France	797A
27	0	France	797A
4	32	Greece	832A
1	19	Greece	832A
2	9	Greece	813A
9	11	Greece	813A
7	9	Greece	813A
1	3	Greece	813A
0	20	Greece	810A
44	28	Greece	810A
7	10	Greece	810A
3	3	Greece	802A
21	4	Greece	802A
7	1	Greece	802A
3	3	Greece	802A
9	25	Greece	776A
15	6	Greece	776A
5	24	Greece	797A
9	22	Greece	797A
3	13	Greece	797A
17	3	Greece	797A
20	13	Spain	832A
32	3	Spain	832A
18	3	Spain	832A
53	4	Spain	832A
32	6	Spain	810A
4	1	Spain	810A
10	4	Spain	802A
24	5	Spain	797A
18	9	Spain	797A
19	9	Spain	797A
1	1	Spain	797A
0	25	UK	832A
6	6	UK	813A
8	4	UK	813A
39	12	UK	797A
9	15	UK	797A
2	16	UK	797A
21	21	UK	797A
23	4	USA	832A
39	17	USA	832A
39	10	USA	832A
3	1	USA	832A
10	28	USA	813A
15	24	USA	813A
23	32	USA	813A
11	17	USA	813A
0	4	USA	802A
27	20	USA	802A
28	11	USA	797A
9	14	USA	797A
10	0	France	875A
1	31	France	852A
5	6	France	852A
0	28	France	852A
0	45	France	852A
21	19	France	861A
12	27	France	861A
1	23	Spain	894A
20	12	France	834A
22	5	France	834A
15	0	France	834A
26	3	France	834A
25	11	Greece	875A
32	9	Greece	875A
28	24	Greece	852A
12	33	Greece	852A
0	33	Greece	852A
0	35	Greece	852A
10	22	Greece	861A
12	14	Greece	861A
7	31	Greece	861A
4	48	Greece	861A
8	19	Greece	834A
23	11	Greece	834A
10	0	Spain	875A
3	0	Spain	875A
9	2	Spain	861A
1	26	Spain	861A
11	6	Spain	861A
24	1	Spain	861A
11	11	Spain	779A
4	23	Spain	779A
0	4	Spain	779A
29	3	Spain	834A
28	0	Spain	834A
0	1	UK	852A
15	16	UK	852A
13	29	UK	861A
3	24	UK	861A
10	9	UK	834A
5	7	UK	834A
7	32	USA	875A
39	15	USA	852A
22	4	USA	852A
24	9	USA	852A
27	6	USA	852A
27	16	USA	834A
5	15	USA	834A
4	31	France	591A
6	25	France	591A
3	23	France	591A
2	11	France	591A
4	6	Greece	591A
12	14	Greece	591A
2	85	Greece	591A
0	17	Greece	591A
4	18	Spain	591A
43	8	Spain	591A
18	18	Spain	591A
3	33	Spain	591A
0	3	UK	595A
0	36	UK	595A
0	7	UK	595A
1	17	UK	591A
0	1	UK	591A
2	18	USA	595A
0	9	USA	595A
25	16	Spain	776A
5	7	UK	894A
0	13	UK	779A
0	34	UK	779A
1	63	UK	779A
2	15	UK	779A
7	13	UK	777A
6	22	UK	777A
16	6	USA	894A
23	11	USA	894A
2	46	USA	779A
0	51	USA	779A
0	1	USA	777A
1	4	USA	777A
15	4	USA	776A
32	5	USA	776A
48	9	France	663A
13	5	France	663A
10	6	France	663A
11	16	France	740A
1	0	France	740A
15	40	France	767A
9	2	France	894A
15	7	France	894A
4	17	Greece	663A
3	47	Greece	740A
8	12	Greece	740A
12	29	Greece	740A
0	5	Greece	767A
15	32	Greece	774A
2	15	Spain	740A
13	15	Spain	740A
4	4	Spain	740A
1	33	Spain	740A
19	30	Spain	767A
27	20	Spain	767A
16	45	France	779A
4	17	UK	663A
16	11	UK	663A
0	1	UK	740A
15	9	UK	740A
11	17	UK	767A
0	10	UK	774A
5	15	UK	774A
19	3	USA	663A
32	5	USA	663A
0	14	USA	713A
0	1	USA	713A
5	25	USA	740A
15	10	USA	740A
4	38	USA	767A
12	18	France	777A
8	11	France	777A
31	11	France	714A
12	21	France	714A
12	14	France	714A
16	5	France	730A
34	2	France	730A
25	9	Greece	589A
29	10	Greece	589A
14	14	Greece	678A
2	7	Greece	678A
0	15	Greece	714A
1	16	Greece	714A
7	23	Greece	730A
6	23	Greece	730A
14	6	Greece	730A
20	7	Greece	730A
34	11	France	776A
21	7	France	776A
26	2	France	776A
30	1	France	776A
4	16	Greece	737A
9	22	Greece	737A
0	7	Greece	737A
7	1	Spain	589A
2	37	Spain	589A
4	0	Spain	589A
12	10	Spain	714A
6	1	Spain	714A
7	17	Spain	714A
0	2	Spain	714A
14	2	Spain	730A
0	1	Spain	730A
25	5	Spain	737A
20	4	Spain	737A
12	9	UK	589A
17	2	UK	589A
10	20	UK	678A
13	35	UK	678A
1	33	UK	714A
0	5	UK	714A
2	17	UK	714A
1	43	UK	714A
7	13	UK	730A
6	7	UK	730A
26	4	USA	589A
2	0	USA	589A
10	6	USA	589A
13	4	USA	589A
19	12	USA	678A
0	11	USA	678A
2	28	USA	714A
1	13	USA	714A
11	7	USA	730A
36	20	France	889A
13	4	France	754A
5	5	France	754A
36	6	France	753A
12	27	Greece	839A
3	33	Greece	839A
16	37	Greece	889A
32	22	Greece	889A
1	39	Greece	796A
0	16	Greece	796A
0	6	Greece	796A
0	2	Greece	796A
5	4	Greece	753A
0	4	Spain	839A
10	5	Spain	839A
0	24	Spain	839A
2	27	Spain	839A
1	1	Spain	796A
0	2	Spain	796A
2	3	Spain	754A
9	5	Spain	754A
9	1	Spain	754A
0	12	Greece	779A
10	17	Spain	753A
5	3	Spain	753A
6	2	Spain	753A
8	11	UK	839A
5	11	UK	839A
3	7	UK	839A
1	14	UK	839A
2	20	UK	796A
1	5	UK	796A
4	19	UK	796A
23	5	UK	754A
4	0	UK	754A
6	21	UK	753A
0	2	UK	753A
9	21	UK	753A
19	34	USA	839A
0	4	USA	839A
8	3	USA	889A
8	1	USA	889A
29	10	USA	889A
23	1	USA	889A
36	5	USA	754A
11	9	USA	754A
1	2	USA	754A
0	2	Greece	777A
